year,quarter,date,polar,dpolar,recession,election,wars,conservatives,polarg,polaro,ldisp,unemp,misery,gdpg,ww1,ww2,angloirish,korean,falkland,irak,afghan,troubles,troubles69,troubles72,nrcpol,ofpol,swnpol
1909,1,1909q1,-1.7899935,,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-1.7941715,-1.34937,-1.496798
1909,2,1909q2,-1.3339995,0.45599401,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-1.4601367,-0.81470871,0.2709021
1909,3,1909q3,-1.097386,0.23661351,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-1.3098654,-0.48125809,0.40986946
1909,4,1909q4,-1.3777519,-0.28036594,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-2.1553297,-1.0843973,0.2169802
1910,1,1910q1,-0.45878786,0.91896409,,1,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-1.0613828,-0.026695265,1.1101639
1910,2,1910q2,-0.94454336,-0.4857555,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-0.91390097,-0.59158027,0.51187307
1910,3,1910q3,-0.66739833,0.27714503,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-1.0483601,-0.32925415,1.0012857
1910,4,1910q4,-0.62635881,0.041039526,,1,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-0.8826946,-0.10503867,0.85749114
1911,1,1911q1,-0.58531934,0.041039467,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-0.71702904,0.11917679,0.7136966
1911,2,1911q2,-0.49273345,0.092585891,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-0.58437735,0.076288827,0.92135209
1911,3,1911q3,-0.471333,0.021400452,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-0.073570743,0.4370614,0.62469113
1911,4,1911q4,-0.74337345,-0.27204046,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-0.97067481,0.17036192,0.15210246
1912,1,1912q1,-0.60013789,0.14323556,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-0.48095655,-0.073513724,1.3423836
1912,2,1912q2,-0.94372088,-0.34358299,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-1.0262803,-0.63946545,0.3250066
1912,3,1912q3,-0.83424461,0.10947627,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-0.90014911,-0.24029499,0.37569034
1912,4,1912q4,-0.99533963,-0.16109502,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-2.0396531,-0.91564667,0.31772962
1913,1,1913q1,-0.85459673,0.1407429,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-0.64590085,-0.24970435,0.50677705
1913,2,1913q2,-1.0058836,-0.15128684,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-1.0386735,-0.618967,0.4860146
1913,3,1913q3,-0.81878871,0.18709487,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-0.20838909,-0.092016019,0.67229378
1913,4,1913q4,-1.4667537,-0.64796501,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-0.75985545,-1.0425844,-0.16525584
1914,1,1914q1,-2.1147187,-0.64796495,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-1.3113219,-1.9931529,-1.0028056
1914,2,1914q2,-0.8981548,1.2165639,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,-1.0123218,-0.70727026,0.1726888
1914,3,1914q3,-1.1767066,-0.27855176,,0,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,-1.782757,-0.43469793,0.24874879
1914,4,1914q4,-1.5917035,-0.41499698,,0,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,-2.1914229,-0.78727245,-0.35018966
1915,1,1915q1,-1.079069,0.51263452,,0,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,-1.1749815,-0.85905069,0.90974694
1915,2,1915q2,-0.28407428,0.79499471,,0,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,-1.2300086,-0.14870615,1.4406995
1915,3,1915q3,-0.5251236,-0.24104932,,0,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,-1.7475681,-0.49970517,1.4984294
1915,4,1915q4,-1.0751742,-0.55005062,,0,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,-2.9203479,-0.93641609,0.15437691
1916,1,1916q1,-1.2044917,-0.12931752,,0,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,-2.5340102,-1.6973401,-0.78610587
1916,2,1916q2,-1.4251262,-0.22063446,,0,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,-3.2066321,-1.2804822,-0.44915074
1916,3,1916q3,-0.71596575,0.70916045,,0,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,-1.0468513,-0.39670727,0.43012604
1916,4,1916q4,-1.1499323,-0.43396652,,0,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,-1.3274976,-1.041357,0.069448009
1917,1,1917q1,-1.0414318,0.10850048,,0,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,-1.607986,-1.2089965,0.31164515
1917,2,1917q2,-0.86446571,0.17696607,,0,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,-1.556161,-0.71879536,0.44722891
1917,3,1917q3,-1.5030117,-0.63854599,,0,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,-2.1064861,-1.1168376,0.6543017
