year,polar,dpolar,recession,election,wars,conservative,ldisp,unemp,misery,gdpg,polarg,polaro,polarg_graph,polaro_graph,ww1,ww2,angloirish,korean,falkland,irak,afghan,troubles,troubles69,troubles72
1909,-1.3562726,,0,0,0,,-0.048297729,0.72008389,0.65293741,0.066390671,,,,,0,0,0,0,0,0,0,0,0,0
1910,-0.76349598,0.5927766,0,1,0,,0.93260974,-0.067082278,0.25106496,0.15190509,,,,,0,0,0,0,0,0,0,0,0,0
1911,-0.60709888,0.1563971,0,0,0,,0.95430535,-0.51105487,-0.15586248,0.36441478,,,,,0,0,0,0,0,0,0,0,0,0
1912,-0.91513097,-0.3080321,0,0,0,,2.0047019,-0.4266184,0.27633995,-0.21663652,,,,,0,0,0,0,0,0,0,0,0,0
1913,-0.95168549,-0.036554515,0,0,0,,0.92777944,-0.74529815,-0.38080996,0.62606335,,,,,0,0,0,0,0,0,0,0,0,0
1914,-1.401347,-0.44966155,0,0,1,,0.93344992,-0.45385596,-0.10783999,-0.052946612,,,,,1,0,0,0,0,0,0,0,0,0
1915,-0.69006854,0.7112785,0,0,1,,0.022886239,-1.0476353,-0.96466237,1.063527,,,,,1,0,0,0,0,0,0,0,0,0
1916,-1.1606189,-0.47055036,0,0,1,,-0.11916122,-1.2137846,-1.1643349,-0.32927305,,,,,1,0,0,0,0,0,0,0,0,0
1917,-1.0405366,0.12008226,1,0,1,,0.51176959,-1.1756519,-0.9191674,-0.89788008,,,,,1,0,0,0,0,0,0,0,0,0
1918,-0.70209372,0.33844292,0,1,1,,0.54161799,-1.1266243,-0.86356241,-0.080387801,,,,,1,0,0,0,0,0,0,0,0,0
1919,-0.59269869,0.10939503,1,0,1,,1.8867433,-0.48926485,0.17776747,-3.186029,,,,,0,0,1,0,0,0,0,0,0,0
1920,-1.3342326,-0.74153388,1,0,1,,1.6795518,-0.77798325,-0.15838999,-2.5650921,,,,,0,0,1,0,0,0,0,0,0,0
1921,-1.6016268,-0.26739419,1,0,1,,2.5642211,1.7414933,2.4752645,-3.7868633,,,,,0,0,1,0,0,0,0,0,0,0
1922,-1.2222549,0.37937188,0,1,0,,1.4597298,1.3710622,1.7599822,1.0057729,,,,,0,0,0,0,0,0,0,0,0,0
1923,-1.0468794,0.17537546,0,1,0,,0.99175179,0.90529948,1.1710749,0.25720268,,,,,0,0,0,0,0,0,0,0,0,0
1924,-0.32752031,0.7193591,0,1,0,,0.81337857,0.6656087,0.89052236,0.81783265,,,,,0,0,0,0,0,0,0,0,0,0
1925,-0.71008867,-0.38256836,0,0,0,,0.76989633,0.84265304,1.0396448,0.4346132,,,,,0,0,0,0,0,0,0,0,0,0
1926,-1.0394986,-0.3294099,1,0,0,,3.0439596,1.0932388,2.0329523,-1.6837831,,,,,0,0,0,0,0,0,0,0,0,0
1927,-1.6631844,-0.62368584,0,0,0,,-0.67269671,0.55393463,0.28897747,1.765511,,,,,0,0,0,0,0,0,0,0,0,0
1928,-0.72608489,0.93709952,0,0,0,,-0.54642528,0.75004524,0.51392496,-0.40330043,,,,,0,0,0,0,0,0,0,0,0,0
1929,-0.50839865,0.21768624,0,1,0,,0.80101383,0.68195128,0.90315986,0.22210349,,,,,0,0,0,0,0,0,0,0,0,0
1930,-0.76200819,-0.25360954,1,0,0,,0.32343593,1.7632834,1.7448173,-0.94223273,,,,,0,0,0,0,0,0,0,0,0,0
1931,-0.99877554,-0.23676735,1,1,0,,0.67190528,2.8037591,2.8265872,-2.1684711,,,,,0,0,0,0,0,0,0,0,0,0
1932,-0.89068699,0.10808855,1,0,0,,0.61646086,2.9426708,2.9377971,-0.66654444,,,,,0,0,0,0,0,0,0,0,0,0
1933,-0.79064363,0.10004336,0,0,0,,-0.7412371,2.5422783,2.1087773,0.32644382,,,,,0,0,0,0,0,0,0,0,0,0
1934,-1.0272709,-0.23662728,0,0,0,,-0.8252362,1.937604,1.5223973,1.21573,,,,,0,0,0,0,0,0,0,0,0,0
1935,-0.42593405,0.60133684,0,1,0,,-0.28812715,1.700637,1.4819573,0.49172917,,,,,0,0,0,0,0,0,0,0,0,0
1936,-0.62392253,-0.19798848,0,0,0,,-0.33836573,1.2512168,1.0497549,0.83346772,,,,,0,0,0,0,0,0,0,0,0,0
1937,-0.50359678,0.12032574,0,0,0,,0.13205695,0.8235867,0.80964237,0.4285506,,,,,0,0,0,0,0,0,0,0,0,0
1938,-0.65088683,-0.14729005,0,0,0,,-0.57634932,1.2403218,0.95623738,-0.44063324,,,,,0,0,0,0,0,0,0,0,0,0
1939,-0.45688429,0.19400254,0,0,1,,-0.56401438,0.27066377,0.06150249,0.7157259,,,,,0,1,0,0,0,0,0,0,0,0
1940,-0.45479542,0.0020888746,0,0,1,,-0.84032661,-0.47564605,-0.72202241,2.4780247,,,,,0,1,0,0,0,0,0,0,0,0
1941,-0.66431981,-0.20952439,0,0,1,,-0.73632896,-1.0149502,-1.1896099,2.090019,,,,,0,1,0,0,0,0,0,0,0,0
1942,-0.85102534,-0.18670553,0,0,1,,-0.47445339,-1.1783757,-1.2527974,-0.11612517,,,,,0,1,0,0,0,0,0,0,0,0
1943,-0.27413103,0.57689428,0,0,1,,-0.34707412,-1.2137846,-1.2426873,-0.14005645,,,,,0,1,0,0,0,0,0,0,0,0
1944,0.29847756,0.57260859,1,0,1,,0.19579157,-1.2219559,-1.0682899,-2.0922101,,,,,0,1,0,0,0,0,0,0,0,0
1945,0.38352489,0.085047334,1,1,1,,-0.0078655938,-1.186547,-1.1036749,-2.1474116,,,,,0,0,0,0,0,0,0,0,0,0
1946,0.091798052,-0.29172683,1,0,0,0,-0.21362862,-0.82701087,-0.83828741,-1.4725497,-0.92742103,0.70560461,0.29544944,0.28407547,0,0,0,0,0,0,0,0,0,0
1947,-0.33963278,-0.43143082,1,0,0,0,-0.12317979,-0.94413251,-0.9191674,-1.0953928,-1.117864,0.0038054173,0.29097447,0.27304479,0,0,0,0,0,0,0,0,0,0
1948,-0.24730906,0.09232372,0,0,0,0,-0.29238212,-0.94413251,-0.97477239,0.33761176,-1.0444821,0.1021467,0.29269877,0.27459049,0,0,0,0,0,0,0,0,0,0
1949,-0.32785377,-0.08054471,0,0,0,0,-0.34749132,-0.90872365,-0.9621349,0.39185598,-1.285028,0.24718054,0.28704646,0.2768701,0,0,0,0,0,0,0,0,0,0
1950,-0.063886695,0.26396707,0,1,0,0,-0.54588223,-0.90872365,-1.0253223,0.36664838,-0.99176717,0.44004935,0.29393744,0.27990153,0,0,0,0,0,0,0,0,0,0
1951,-0.48241961,-0.41853291,0,1,1,0,-0.39618745,-0.99316013,-1.0531249,0.51246959,-1.3600864,0.036991175,0.28528276,0.2735664,0,0,0,1,0,0,0,0,0,0
1952,-0.38282797,0.099591643,0,0,0,1,-0.35377726,-0.87331474,-0.92927736,-0.17707014,-0.94452631,-0.1639767,0.29504752,0.27040765,0,0,0,0,0,0,0,0,0,0
1953,-0.24560447,0.1372235,0,0,0,1,-0.2045974,-0.88693357,-0.89136487,1.0740567,-0.90039963,0.022677913,0.2960844,0.27334142,0,0,0,0,0,0,0,0,0,0
1954,0.02812564,0.2737301,0,0,0,1,-0.11577754,-0.95230377,-0.92422235,0.68509382,-0.48687485,0.1718449,0.3058013,0.275686,0,0,0,0,0,0,0,0,0,0
1955,-0.33014581,-0.35827145,0,1,0,1,0.20927413,-1.0231215,-0.87872738,0.5335291,-0.59529519,-0.5616762,0.30325368,0.2641567,0,0,0,0,0,0,0,0,0,0
1956,-0.61960965,-0.28946385,1,0,0,1,-0.24030307,-1.0095026,-1.0177399,-0.16622131,-0.91969347,-0.85108995,0.29563102,0.25960779,0,0,0,0,0,0,0,0,0,0
1957,-0.13612159,0.48348808,0,0,0,1,0.8123036,-0.93323743,-0.59564739,-0.076558799,-0.5723573,-0.25054854,0.30379266,0.26904693,0,0,0,0,0,0,0,0,0,0
1958,-0.18165012,-0.045528531,0,0,0,1,0.14280644,-0.79160202,-0.6866374,-0.28523949,-0.56678039,-0.38195273,0.3039237,0.26698154,0,0,0,0,0,0,0,0,0,0
1959,0.14062634,0.32227647,0,1,0,1,0.45966595,-0.76164067,-0.5526799,0.62255347,-0.36130685,0.076833747,0.30875188,0.27419263,0,0,0,0,0,0,0,0,0,0
1960,0.09386757,-0.046758771,0,0,0,1,0.040802725,-0.88148606,-0.80542988,1.3181558,-0.31707379,-0.048185587,0.30979127,0.27222762,0,0,0,0,0,0,0,0,0,0
1961,-0.33693904,-0.43080661,1,0,0,1,0.046269022,-0.91961867,-0.83828741,0.16626385,-0.62397885,-0.55571234,0.30257967,0.26425046,0,0,0,0,0,0,0,0,0,0
1962,-0.0008269104,0.33611211,0,0,0,1,0.5316692,-0.79432577,-0.55773491,-0.33693105,-0.28278065,-0.33017331,0.31059706,0.26779541,0,0,0,0,0,0,0,0,0,0
1963,0.33442745,0.33525437,0,0,0,1,-0.36951032,-0.69899422,-0.7725724,0.86888599,-0.004393341,-0.036040235,0.31713855,0.2724185,0,0,0,0,0,0,0,0,0,0
1964,0.28432092,-0.050106525,0,1,0,1,-0.173151,-0.86786723,-0.86356241,1.0871392,-0.41892377,0.53020108,0.30739802,0.28131852,0,0,0,0,0,0,0,0,0,0
1965,0.15582736,-0.12849356,0,0,0,0,0.015701862,-0.93051368,-0.85850739,-0.0015741459,-0.85974765,0.92479849,0.29703963,0.28752068,0,0,0,0,0,0,0,0,0,0
