lemma,pos1,polarity,seed
congratulate,v,1,0
delighted,a,0.9637092242,0
high-quality,a,0.9594914138,0
tribute,n,0.9572963066,0
commend,v,0.9196902455,0
impressive,a,0.9107023785,0
worthwhile,a,0.906745476,0
informative,a,0.8946588265,0
enable,v,0.8906527689,0
warm,a,0.8883732467,0
welcome,v,0.8730643697,0
thank,v,0.8716500116,0
marvellous,a,0.8691631099,0
provide,v,0.8632413275,0
superb,a,0.8611170156,0
maiden,a,0.8572997238,0
balanced,a,0.8550936117,0
robust,a,0.8401564307,0
pleased,a,0.8312794964,0
sustainable,a,0.8220615374,0
agreeable,a,0.8188252716,0
enthusiastic,a,0.8173305827,0
thoughtful,a,0.8154468111,0
attractive,a,0.8148776886,0
imaginative,a,0.8130372167,0
warmly,r,0.8114126381,0
promote,v,0.8109597842,0
cooperation,n,0.808542345,0
co-operation,n,0.8085009544,0
achieve,v,0.8073937835,0
chairmanship,n,0.8016428688,0
constructive,a,0.8005087714,0
cordial,a,0.7981154328,0
charming,a,0.7956103888,0
congratulating,n,0.7889114042,0
achievement,n,0.7816823981,0
offer,v,0.7756535818,0
facilitate,v,0.7728935059,0
lively,a,0.7690038397,0
preserve,v,0.7676755778,0
sure,a,0.7675905729,0
enjoyable,a,0.766575782,0
excellence,n,0.765611578,0
contribution,n,0.7627606753,0
ensure,v,0.7624370513,0
well-informed,a,0.7587880023,0
distinguished,a,0.7539141028,0
businesslike,a,0.7528161513,0
energetic,a,0.7521913099,0
invaluable,a,0.7513704242,0
brilliant,a,0.750817228,0
courteous,a,0.7485246394,0
celebrate,v,0.7481547991,0
congratulation,n,0.7452613999,0
lucid,a,0.7427878021,0
reasonably,r,0.7416883544,0
support,n,0.7410977773,0
flexible,a,0.7391592193,0
remarkable,a,0.7326451816,0
sensible,a,0.7294090286,0
encouraging,a,0.7287245177,0
well-balanced,a,0.7261076835,0
admire,v,0.7240665094,0
improved,a,0.7215228624,0
value,v,0.7171934847,0
enhance,v,0.7151197326,0
pleasure,n,0.7106483282,0
assure,v,0.7092395442,0
quality,n,0.7091964274,0
accessible,a,0.709166027,0
hearty,a,0.7079804902,0
outstandingly,r,0.7074071964,0
deliver,v,0.7063203575,0
secure,a,0.7054928789,0
fluent,a,0.7020429532,0
enlighten,v,0.7011617009,0
worth-while,a,0.6979791777,0
model,n,0.6977220603,0
fine,a,0.6968012847,0
proud,a,0.6967003248,0
compliment,v,0.6959505199,0
maintain,v,0.6949192179,0
applaud,v,0.6946541039,0
stable,a,0.6942491196,0
capable,a,0.692720151,0
forward-looking,a,0.6912516935,0
harmonious,a,0.6903294843,0
role,n,0.6846913885,0
wholehearted,a,0.6839204939,0
partnership,n,0.6814576631,0
artistic,a,0.6814479984,0
collaboration,n,0.6813343598,0
backing,n,0.6810827835,0
first-class,a,0.6810015762,0
command,v,0.6803953409,0
dignified,a,0.6800795435,0
commendable,a,0.6797771284,0
competent,a,0.6792036703,0
eminently,r,0.6783386247,0
conciliatory,a,0.6776574412,0
suitable,a,0.6769394026,0
appreciation,n,0.6768359751,0
preservation,n,0.6761555128,0
respect,v,0.6757302608,0
opportunity,n,0.675238471,0
skilful,a,0.6746140566,0
comprehensive,a,0.6745321453,0
forward,r,0.6729481501,0
finest,a,0.672376915,0
participate,v,0.6722537309,0
economical,a,0.6715170638,0
persuasive,a,0.6705086336,0
statesmanlike,a,0.668584693,0
encouragement,n,0.6682119227,0
sure,r,0.6679037538,0
underpin,v,0.6672818146,0
thanks,n,0.6661628201,0
ready,a,0.6648459781,0
diverse,a,0.663136198,0
timely,a,0.6629969458,0
non-partisan,a,0.6627569107,0
informed,a,0.661732784,0
broad,a,0.6616684953,0
up-to-date,a,0.6610179974,0
workmanlike,a,0.6583535619,0
play,v,0.6582039622,0
prosperous,a,0.657276113,0
praise,v,0.6572444378,0
first-rate,a,0.6567753422,0
speedy,a,0.6556128498,0
expand,v,0.6533990263,0
assist,v,0.6498218927,0
commendation,n,0.6494642822,0
broadly,r,0.6494118835,0
elegant,a,0.6484396619,0
establish,v,0.648293777,0
dynamic,a,0.6474698772,0
attain,v,0.6473091498,0
progress,n,0.6461237767,0
whole-hearted,a,0.6457783433,0
scientific,a,0.6451704147,0
representative,a,0.6439272615,0
well-deserved,a,0.6439140291,0
all-party,a,0.643060009,0
exciting,a,0.6428459271,0
consistent,a,0.6421798601,0
gracious,a,0.6414432308,0
smooth,a,0.6396364783,0
handsome,a,0.637973265,0
contented,a,0.6378196985,0
impartial,a,0.6367676837,0
assiduous,a,0.6366551888,0
knowledgeable,a,0.6364232618,0
framework,n,0.635503353,0
notable,a,0.6346143287,0
maiden,n,0.6346063659,0
team,n,0.6334636718,0
proper,a,0.6332075045,0
inspiring,a,0.633130353,0
full,a,0.6325961078,0
enjoyment,n,0.6317536395,0
cheerful,a,0.6283758081,0
responsive,a,0.6272488992,0
expeditious,a,0.626205316,0
admiration,n,0.6260660855,0
congenial,a,0.6256379364,0
peaceful,a,0.6250237285,0
eloquent,a,0.6233642373,0
flexibility,n,0.6226404644,0
interested,a,0.6221982674,0
far-sighted,a,0.622007298,0
rewarding,a,0.6183930277,0
give,v,0.6179253062,0
hope,v,0.616231133,0
diligent,a,0.6158698929,0
forceful,a,0.6151939933,0
pioneering,a,0.6135911004,0
authoritative,a,0.6132645108,0
skill,n,0.6131518712,0
co-operative,a,0.6099786484,0
retain,v,0.6098137367,0
deserve,v,0.608538662,0
diversity,n,0.608471537,0
fullest,a,0.6078703257,0
celebration,n,0.606054183,0
active,a,0.6050319719,0
form,v,0.6041526942,0
dependable,a,0.6037185193,0
orderly,a,0.603527813,0
fully,r,0.6020678477,0
honourable,a,0.6005021626,0
quiet,a,0.5990233311,0
keen,a,0.5975097324,0
courtesy,n,0.5952582453,0
hopeful,a,0.5945622068,0
equitable,a,0.5943998031,0
well-trained,a,0.5936583393,0
enterprising,a,0.5932137948,0
understanding,n,0.5931621488,0
support,v,0.5931447084,0
immensely,r,0.5928864217,0
consensus,n,0.5922029123,0
workable,a,0.5921806615,0
develop,v,0.5915748564,0
erudite,a,0.5915564154,0
work,n,0.591468349,0
note,v,0.591439292,0
objective,n,0.5903656682,0
initiative,n,0.5902491007,0
continuity,n,0.5891328641,0
access,n,0.5885523351,0
tradition,n,0.5883807701,0
benefit,v,0.5869754568,0
dialogue,n,0.5864490283,0
appreciative,a,0.5857396376,0
illuminating,a,0.5853931366,0
explore,v,0.5850195357,0
range,n,0.5848240703,0
joint,a,0.5840143579,0
reciprocate,v,0.5832735013,0
facility,n,0.5825114168,0
solid,a,0.5808324004,0
outstanding,a,0.5806946501,0
please,v,0.579925003,0
leisure,n,0.579075569,0
virile,a,0.5788768291,0
modest,a,0.5785232868,0
sound,a,0.5769465546,0
courageous,a,0.5758168823,0
exposition,n,0.5754651116,0
durable,a,0.5739817464,0
presentation,n,0.5738810537,0
fuller,a,0.5735458631,0
guarantee,v,0.5729845069,0
suitably,r,0.572970776,0
essential,a,0.5723892291,0
academic,a,0.5719229569,0
contribute,v,0.5702867273,0
wonderfully,r,0.5700387563,0
stimulate,v,0.5697943023,0
interchange,n,0.569542586,0
compatible,a,0.5695123371,0
little,r,0.5690111651,0
embrace,v,0.5688635408,0
style,n,0.5685803116,0
champion,n,0.568547316,0
fruitful,a,0.5680440898,0
fascinating,a,0.5672973551,0
endorse,v,0.5661971408,0
debater,n,0.5657933025,0
best,r,0.5646092724,0
apprenticeship,n,0.5641601583,0
enhancement,n,0.5630280098,0
entertaining,a,0.562728777,0
witty,a,0.5619744409,0
practical,a,0.5618630009,0
calm,a,0.5618181555,0
gratifying,a,0.5613112832,0
remarkably,r,0.5606009445,0
thriving,a,0.5605788154,0
well-paid,a,0.5604556875,0
versatile,a,0.5603709831,0
prompt,a,0.5602748131,0
help,n,0.5602333346,0
friendliness,n,0.5591993696,0
accord,n,0.5587437309,0
noble,a,0.5584000634,0
warmest,a,0.5580395889,0
reassuring,a,0.5579032416,0
adequate,a,0.5574205312,0
spacious,a,0.5572585235,0
influential,a,0.5570178846,0
complementary,a,0.5563368254,0
amicable,a,0.5560936633,0
realistic,a,0.555726345,0
insight,n,0.5557135979,0
estimable,a,0.5538740754,0
ideal,a,0.5538493182,0
warmth,n,0.5537984284,0
endeavour,n,0.5531904737,0
guide,v,0.5531021815,0
conservation,n,0.5527777935,0
high-class,a,0.5524012896,0
cross-section,n,0.5521881958,0
build,v,0.551395013,0
heartening,a,0.5511180234,0
like,v,0.5508518392,0
productive,a,0.5501498927,0
adaptable,a,0.5498305927,0
thorough,a,0.5494624102,0
unrivalled,a,0.5493630353,0
accordance,n,0.5493519505,0
charm,n,0.5489236891,0
positive,a,0.5483636097,0
recreation,n,0.548161692,0
practicable,a,0.5481539839,0
offer,n,0.5478565467,0
guidance,n,0.5476691295,0
independence,n,0.5475804404,0
cohesive,a,0.5467350818,0
coherent,a,0.5460831487,0
succinct,a,0.5457407922,0
widest,a,0.5449780761,0
promotion,n,0.5448011142,0
bright,a,0.5445815347,0
humane,a,0.5445184128,0
non-controversial,a,0.5442485914,0
industrious,a,0.5441869979,0
attraction,n,0.5432503193,0
vital,a,0.5426786588,0
forthcoming,a,0.5424517954,0
arrange,v,0.5422950421,0
popular,a,0.5415478551,0
